SIGUN_NM,SIGUN_CD,FODNDRK_WST_OCCUR_QTY,POPLTN_CNT,DAY1_PSN1_OCCUR_QTY
수원시,41110,96396.5,1228171,0.22
고양시,41280,97236.0,1074759,0.25
용인시,41460,84972.0,1113031,0.21
성남시,41130,82088.5,924510,0.24
부천시,41190,73036.5,791414,0.25
안산시,41270,68474.0,668068,0.28
남양주시,41360,54969.0,739980,0.2
안양시,41170,43471.5,570653,0.21
화성시,41590,106105.5,1043614,0.28
평택시,41220,66539.5,644756,0.28
시흥시,41390,54348.5,557103,0.27
파주시,41480,36573.0,540955,0.19
의정부시,41150,38982.0,469634,0.23
김포시,41570,30441.0,511088,0.16
광주시,41610,45734.5,412845,0.3
광명시,41210,17958.0,294426,0.17
군포시,41410,19199.0,257725,0.2
하남시,41450,25878.5,330554,0.21
오산시,41370,21316.0,259640,0.22
양주시,41630,24090.0,306081,0.22
이천시,41500,31937.5,234807,0.37
구리시,41310,16498.0,187704,0.24
안성시,41550,13833.5,211944,0.18
포천시,41650,13140.0,157305,0.23
의왕시,41430,15330.0,160838,0.26
양평군,41830,8906.0,128875,0.19
여주시,41670,12264.0,119656,0.28
동두천시,41250,5292.5,91098,0.16
가평군,41820,8030.0,63556,0.35
과천시,41290,6022.5,80112,0.21
연천군,41800,3139.0,43407,0.2
