_id,year,mode,ridership,ridership_millions
3,1995,Bus,3009000,3.009
2,1995,LRT,0,0.0
1,1995,MRT,740000,0.74
6,1996,Bus,3118000,3.118
5,1996,LRT,0,0.0
4,1996,MRT,850000,0.85
9,1997,Bus,3116000,3.116
8,1997,LRT,0,0.0
7,1997,MRT,911000,0.911
12,1998,Bus,3121000,3.121
11,1998,LRT,0,0.0
10,1998,MRT,946000,0.946
15,1999,Bus,3213000,3.213
14,1999,LRT,27000,0.027
13,1999,MRT,986000,0.986
18,2000,Bus,3251000,3.251
17,2000,LRT,39000,0.039
16,2000,MRT,1047000,1.047
21,2001,Bus,3281000,3.281
20,2001,LRT,41000,0.041
19,2001,MRT,1071000,1.071
24,2002,Bus,3197000,3.197
23,2002,LRT,39000,0.039
22,2002,MRT,1081000,1.081
27,2003,Bus,2992000,2.992
26,2003,LRT,50000,0.05
25,2003,MRT,1171000,1.171
30,2004,Bus,2805000,2.805
29,2004,LRT,55000,0.055
28,2004,MRT,1270000,1.27
33,2005,Bus,2779000,2.779
32,2005,LRT,69000,0.069
31,2005,MRT,1321000,1.321
36,2006,Bus,2833000,2.833
35,2006,LRT,74000,0.074
34,2006,MRT,1408000,1.408
39,2007,Bus,2932000,2.932
38,2007,LRT,79000,0.079
37,2007,MRT,1527000,1.527
42,2008,Bus,3087000,3.087
41,2008,LRT,88000,0.088
40,2008,MRT,1698000,1.698
45,2009,Bus,3047000,3.047
44,2009,LRT,90000,0.09
43,2009,MRT,1782000,1.782
48,2010,Bus,3199000,3.199
47,2010,LRT,100000,0.1
46,2010,MRT,2069000,2.069
51,2011,Bus,3385000,3.385
50,2011,LRT,111000,0.111
49,2011,MRT,2295000,2.295
54,2012,Bus,3481000,3.481
53,2012,LRT,124000,0.124
52,2012,MRT,2525000,2.525
57,2013,Bus,3601000,3.601
56,2013,LRT,132000,0.132
55,2013,MRT,2623000,2.623
60,2014,Bus,3751000,3.751
59,2014,LRT,137000,0.137
58,2014,MRT,2762000,2.762
63,2015,Bus,3891000,3.891
62,2015,LRT,152000,0.152
61,2015,MRT,2871000,2.871
66,2016,Bus,3939000,3.939
65,2016,LRT,180000,0.18
64,2016,MRT,3095000,3.095
69,2017,Bus,3952000,3.952
68,2017,LRT,190000,0.19
67,2017,MRT,3122000,3.122
72,2018,Bus,4037000,4.037
71,2018,LRT,199000,0.199
70,2018,MRT,3302000,3.302
75,2019,Bus,4099000,4.099
74,2019,LRT,208000,0.208
73,2019,MRT,3384000,3.384
78,2020,Bus,2878000,2.878
77,2020,LRT,139000,0.139
76,2020,MRT,2023000,2.023
81,2021,Bus,3008000,3.008
80,2021,LRT,151000,0.151
79,2021,MRT,2100000,2.1
84,2022,Bus,3461000,3.461
83,2022,LRT,184000,0.184
82,2022,MRT,2745000,2.745
87,2023,Bus,3747000,3.747
86,2023,LRT,202000,0.202
85,2023,MRT,3243000,3.243
90,2024,Bus,3837000,3.837
89,2024,LRT,210000,0.21
88,2024,MRT,3412000,3.412
